source_organisation,amountUSD,flow,destination_organisation
Various Donor,2000000,internal,World Health Organization
Various Donor,1996161,internal,World Food Programme
Various Donor,1991743,internal,United Nations Children's Fund
Various Donor,1981707,internal,MEDAIR
Various Donor,1956574,internal,United Nations Children's Fund
Various Donor,1910585,incoming,ACT Alliance / Norwegian Church Aid
Various Donor,1910585,incoming,ACT Alliance / Norwegian Church Aid
Various Donor,1907969,internal,Premi̬re Urgence - Aide M̩dicale Internationale
Various Donor,1903396,internal,Agency for Technical Cooperation and Development
Various Donor,1886366,incoming,TEARFUND
Various Donor,1886366,incoming,TEARFUND
Various Donor,1875000,incoming,Save the Children 
Various Donor,1875000,incoming,Save the Children 
Various Donor,1870338,incoming,United Nations Children's Fund
Various Donor,1870338,incoming,United Nations Children's Fund
Various Donor,1855013,incoming,United Nations Children's Fund
Various Donor,1855013,incoming,United Nations Children's Fund
Various Donor,1838814,internal,International Organization for Migration
Various Donor,1826619,incoming,United Nations Office for Project Services
Various Donor,1826619,incoming,United Nations Office for Project Services
Various Donor,1819187,internal,United Nations High Commissioner for Refugees
Various Donor,1813320,incoming,United Nations Children's Fund
Various Donor,1813320,incoming,United Nations Children's Fund
Various Donor,1803752,internal,World Food Programme
Various Donor,1800001,internal,United Nations Children's Fund
Various Donor,1800000,internal,United Nations Children's Fund
Various Donor,1800000,incoming,United Nations Children's Fund
Various Donor,1800000,incoming,United Nations Children's Fund
Various Donor,1800000,incoming,United Nations Children's Fund
Various Donor,1800000,incoming,United Nations Children's Fund
Various Donor,1741756,internal,M̩decins sans Fronti̬res
Various Donor,1728395,internal,International Medical Corps UK
Various Donor,1700000,incoming,Save the Children 
Various Donor,1700000,incoming,Save the Children 
Various Donor,1687289,internal,International Organization for Migration
Various Donor,1683502,internal,NGOs (details not yet provided)
Various Donor,1682746,internal,Polish Humanitarian Action
Various Donor,1657638,incoming,HelpAge International
Various Donor,1657638,incoming,HelpAge International
Various Donor,1650000,internal,World Health Organization
Various Donor,1650000,incoming,International Organization for Migration
Various Donor,1650000,incoming,International Organization for Migration
Various Donor,1625136,internal,World Food Programme
Various Donor,1589912,incoming,"Republic of South Sudan, Government of"
Various Donor,1589912,incoming,"Republic of South Sudan, Government of"
Various Donor,1573564,incoming,United Nations High Commissioner for Refugees
Various Donor,1573564,incoming,United Nations High Commissioner for Refugees
Various Donor,1572382,internal,World Food Programme
Various Donor,1563252,internal,United Nations High Commissioner for Refugees
Various Donor,1555200,internal,United Nations Children's Fund
Various Donor,1538462,incoming,United Nations High Commissioner for Refugees
Various Donor,1538462,incoming,United Nations High Commissioner for Refugees
Various Donor,1532689,incoming,International Organization for Migration
Various Donor,1532689,incoming,International Organization for Migration
Various Donor,1530791,internal,United Nations Children's Fund
Various Donor,1528721,incoming,Concern Worldwide
Various Donor,1528721,incoming,Concern Worldwide
Various Donor,1524390,internal,MEDAIR
Various Donor,1522620,incoming,International Organization for Migration
Various Donor,1522620,incoming,International Organization for Migration
Various Donor,1522070,incoming,United Nations Children's Fund
Various Donor,1522070,incoming,United Nations Children's Fund
Various Donor,1520952,incoming,Concern Worldwide
Various Donor,1520952,incoming,Concern Worldwide
Various Donor,1509636,incoming,United Nations Children's Fund
Various Donor,1509636,incoming,United Nations Children's Fund
Various Donor,1500849,internal,United Nations Children's Fund
Various Donor,1500000,internal,United Nations Office for Project Services
Various Donor,1500000,incoming,Danish Refugee Council
Various Donor,1500000,incoming,ACT Alliance / Lutheran World Relief
Various Donor,1500000,incoming,Danish Refugee Council
Various Donor,1500000,incoming,ACT Alliance / Lutheran World Relief
Various Donor,1495000,internal,ACF - Spain
Various Donor,1480040,internal,United Nations Children's Fund
Various Donor,1460280,incoming,Food & Agriculture Organization of the United Nations
Various Donor,1460280,incoming,Food & Agriculture Organization of the United Nations
Various Donor,1458595,incoming,American Refugee Committee
Various Donor,1458595,incoming,American Refugee Committee
Various Donor,1451678,incoming,United Nations High Commissioner for Refugees
Various Donor,1451678,incoming,United Nations High Commissioner for Refugees
Various Donor,1441600,internal,World Food Programme
Various Donor,1409271,incoming,GOAL
Various Donor,1409073,internal,International Rescue Committee
Various Donor,1403228,internal,Interchurch Medical Assistance World Health
Various Donor,1400000,internal,International Organization for Migration
Various Donor,1400000,incoming,International Organization for Migration
Various Donor,1400000,incoming,International Organization for Migration
Various Donor,1386645,internal,Office for the Coordination of Humanitarian Affairs
Various Donor,1384308,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,1366667,incoming,United Nations Children's Fund
Various Donor,1366667,incoming,United Nations Children's Fund
Various Donor,1366202,incoming,Samaritan's Purse
Various Donor,1361089,incoming,World Relief
Various Donor,1361089,incoming,World Relief
Various Donor,1361000,incoming,ACT Alliance / Lutheran World Federation
Various Donor,1360800,internal,United Nations Children's Fund
Various Donor,1351946,incoming,Agency for Technical Cooperation and Development
Various Donor,1351946,incoming,Agency for Technical Cooperation and Development
Various Donor,1343874,incoming,TEARFUND
Various Donor,1335026,internal,United Nations Office for Project Services
Various Donor,1322401,internal,International Committee of the Red Cross
Various Donor,1300000,incoming,Samaritan's Purse
Various Donor,1300000,internal,International Organization for Migration
Various Donor,1300000,internal,International Organization for Migration
Various Donor,1300000,incoming,International Organization for Migration
Various Donor,1300000,incoming,International Organization for Migration
Various Donor,1284000,incoming,World Food Programme
Various Donor,1283049,internal,International Organization for Migration
Various Donor,1275848,incoming,Mercy Corps 
Various Donor,1275848,incoming,Mercy Corps 
Various Donor,1271902,internal,OXFAM GB
Various Donor,1268394,incoming,Concern Worldwide
Various Donor,1260582,incoming,United Nations High Commissioner for Refugees
Various Donor,1260582,incoming,United Nations High Commissioner for Refugees
Various Donor,1239000,incoming,Save the Children 
Various Donor,1239000,incoming,Save the Children 
Various Donor,1239000,incoming,Save the Children 
Various Donor,1239000,incoming,Save the Children 
Various Donor,1232392,incoming,International Organization for Migration
Various Donor,1230082,incoming,MEDAIR
Various Donor,1230082,incoming,MEDAIR
Various Donor,1210435,incoming,United Nations Children's Fund
Various Donor,1210435,incoming,United Nations Children's Fund
Various Donor,1200000,internal,United Nations Children's Fund
Various Donor,1200000,internal,United Nations Children's Fund
Various Donor,1200000,internal,United Nations Development Programme
Various Donor,1189061,incoming,Norwegian Refugee Council
Various Donor,1189061,incoming,Norwegian Refugee Council
Various Donor,1187183,incoming,World Food Programme
Various Donor,1182097,internal,International Rescue Committee
Various Donor,1172299,internal,MEDAIR
Various Donor,1171475,incoming,Danish Red Cross
Various Donor,1171475,incoming,Danish Red Cross
Various Donor,1167232,internal,United Nations Children's Fund
Various Donor,1167134,internal,World Food Programme
Various Donor,1162926,incoming,Norwegian Refugee Council
Various Donor,1162926,incoming,Norwegian Refugee Council
Various Donor,1151689,incoming,United Nations Population Fund
Various Donor,1147993,incoming,empty
Various Donor,1147993,incoming,empty
Various Donor,1146341,incoming,Concern Worldwide
Various Donor,1146341,incoming,Concern Worldwide
Various Donor,1122334,incoming,International Committee of the Red Cross
Various Donor,1122334,incoming,United Nations High Commissioner for Refugees
Various Donor,1122334,incoming,International Committee of the Red Cross
Various Donor,1122334,incoming,United Nations High Commissioner for Refugees
Various Donor,1118569,incoming,United Nations High Commissioner for Refugees
Various Donor,1118569,incoming,United Nations High Commissioner for Refugees
Various Donor,1118568,internal,World Health Organization
Various Donor,1118568,outgoing,United Nations High Commissioner for Refugees
Various Donor,1105003,internal,World Food Programme
Various Donor,1101600,internal,United Nations Children's Fund
Various Donor,1100000,internal,Office for the Coordination of Humanitarian Affairs
Various Donor,1100000,incoming,International Organization for Migration
Various Donor,1100000,incoming,International Organization for Migration
Various Donor,1099706,internal,International Organization for Migration
Various Donor,1096491,internal,United Nations Children's Fund
Various Donor,1091580,incoming,South Sudan CHF
Various Donor,1091580,incoming,South Sudan CHF
Various Donor,1089602,incoming,World Vision International
Various Donor,1089602,incoming,World Vision International
Various Donor,1089325,internal,Office for the Coordination of Humanitarian Affairs
Various Donor,1086957,outgoing,World Food Programme
Various Donor,1086957,outgoing,United Nations High Commissioner for Refugees
Various Donor,1085000,incoming,International Medical Corps UK
Various Donor,1085000,incoming,International Medical Corps UK
Various Donor,1083424,internal,World Food Programme
Various Donor,1083424,internal,M̩decins sans Fronti̬res
Various Donor,1065449,incoming,United Nations Children's Fund
Various Donor,1065449,incoming,United Nations Children's Fund
Various Donor,1064476,incoming,TEARFUND
Various Donor,1064476,incoming,TEARFUND
Various Donor,1058268,incoming,CARE International
Various Donor,1058268,incoming,CARE International
Various Donor,1048057,incoming,World Food Programme
Various Donor,1037219,internal,World Food Programme
Various Donor,1035419,internal,International Rescue Committee
Various Donor,1033333,incoming,United Nations Children's Fund
Various Donor,1033333,incoming,United Nations Children's Fund
Various Donor,1028278,incoming,Swedish Civil Contingencies Agency (MSB)
Various Donor,1028278,incoming,Swedish Civil Contingencies Agency (MSB)
Various Donor,1025881,internal,World Relief
Various Donor,1025762,incoming,MEDAIR
Various Donor,1025762,incoming,MEDAIR
Various Donor,1023751,incoming,ACT Alliance / DanChurchAid
Various Donor,1023751,incoming,ACT Alliance / DanChurchAid
Various Donor,1023564,internal,United Nations Children's Fund
Various Donor,1020954,incoming,ACT Alliance / DanChurchAid
Various Donor,1017639,internal,Concern Worldwide
Various Donor,1014687,incoming,South Sudan CHF
Various Donor,1014687,incoming,South Sudan CHF
Various Donor,1014131,incoming,Search for Common Ground
Various Donor,1010138,internal,United Nations High Commissioner for Refugees
Various Donor,1010101,incoming,International Organization for Migration
Various Donor,1010101,incoming,International Organization for Migration
Various Donor,1003054,incoming,Agency for Technical Cooperation and Development
Various Donor,1003054,incoming,Agency for Technical Cooperation and Development
Various Donor,1000667,incoming,World Food Programme
Various Donor,1000667,incoming,World Food Programme
Various Donor,1000002,incoming,International Organization for Migration
Various Donor,1000002,incoming,International Organization for Migration
Various Donor,1000000,internal,United Nations Children's Fund
Various Donor,1000000,internal,United Nations Children's Fund
Various Donor,1000000,internal,Office for the Coordination of Humanitarian Affairs
Various Donor,1000000,internal,Food & Agriculture Organization of the United Nations
Various Donor,1000000,incoming,World Food Programme
Various Donor,1000000,incoming,Save the Children 
Various Donor,1000000,incoming,World Food Programme
Various Donor,1000000,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,1000000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,1000000,incoming,United Nations Children's Fund
Various Donor,1000000,incoming,World Food Programme
Various Donor,1000000,incoming,Save the Children 
Various Donor,1000000,incoming,World Food Programme
Various Donor,1000000,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,1000000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,1000000,incoming,United Nations Children's Fund
Various Donor,992303,incoming,Save the Children 
Various Donor,992303,incoming,Save the Children 
Various Donor,992092,incoming,World Food Programme
Various Donor,992092,incoming,World Food Programme
Various Donor,988142,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,977980,incoming,M̩decins sans Fronti̬res
Various Donor,977980,incoming,M̩decins sans Fronti̬res
Various Donor,968084,incoming,Peace Winds Japan
Various Donor,968084,incoming,Peace Winds Japan
Various Donor,965027,incoming,M̩decins sans Fronti̬res
Various Donor,965027,incoming,M̩decins sans Fronti̬res
Various Donor,960000,incoming,MEDAIR
Various Donor,960000,incoming,MEDAIR
Various Donor,956122,incoming,Save the Children 
Various Donor,956122,incoming,Save the Children 
Various Donor,951875,incoming,People in Need
Various Donor,951875,incoming,People in Need
Various Donor,950000,internal,World Food Programme
Various Donor,944283,incoming,United Nations Children's Fund
Various Donor,944283,incoming,United Nations Children's Fund
Various Donor,941240,internal,Norwegian Refugee Council
Various Donor,931708,incoming,International Organization for Migration
Various Donor,931708,incoming,International Organization for Migration
Various Donor,930221,incoming,Adventist Development and Relief Agency 
Various Donor,930221,incoming,Adventist Development and Relief Agency 
Various Donor,928936,incoming,ACT Alliance / Church of Sweden
Various Donor,928936,incoming,ACT Alliance / Church of Sweden
Various Donor,923598,internal,International Rescue Committee
Various Donor,923000,internal,International Organization for Migration
Various Donor,918577,incoming,ACT Alliance / DanChurchAid
Various Donor,918577,incoming,ACT Alliance / DanChurchAid
Various Donor,915261,internal,GOAL
Various Donor,914370,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,913625,internal,GOAL
Various Donor,912800,internal,United Nations Children's Fund
Various Donor,908830,internal,International Rescue Committee
Various Donor,907801,internal,Norwegian Refugee Council
Various Donor,901639,internal,Norwegian Refugee Council
Various Donor,899881,internal,World Food Programme
Various Donor,895732,incoming,World Relief
Various Donor,895732,incoming,World Relief
Various Donor,892012,incoming,Polish Humanitarian Action
Various Donor,892012,incoming,Polish Humanitarian Action
Various Donor,891328,internal,Danish Refugee Council
Various Donor,882362,internal,United Nations Children's Fund
Various Donor,875000,incoming,International Rescue Committee
Various Donor,875000,incoming,International Rescue Committee
Various Donor,872520,incoming,TEARFUND
Various Donor,872520,incoming,TEARFUND
Various Donor,866667,incoming,United Nations Children's Fund
Various Donor,866667,incoming,United Nations Children's Fund
Various Donor,860387,incoming,World Vision South Sudan
Various Donor,860387,incoming,World Vision South Sudan
Various Donor,860000,internal,Food for the Hungry 
Various Donor,845921,incoming,United Nations Children's Fund
Various Donor,845921,incoming,United Nations Children's Fund
Various Donor,841751,incoming,M̩decins sans Fronti̬res
Various Donor,841751,incoming,M̩decins sans Fronti̬res
Various Donor,836455,incoming,MEDAIR
Various Donor,836455,incoming,MEDAIR
Various Donor,834899,incoming,Relief International
Various Donor,834339,incoming,GOAL
Various Donor,831708,incoming,International Organization for Migration
Various Donor,831708,incoming,International Organization for Migration
Various Donor,830557,incoming,Concern Worldwide
Various Donor,830557,incoming,Concern Worldwide
Various Donor,830000,incoming,World Vision South Sudan
Various Donor,830000,incoming,World Vision South Sudan
Various Donor,823545,incoming,International Medical Corps UK
Various Donor,816386,incoming,Nonviolent Peaceforce
Various Donor,816386,incoming,Nonviolent Peaceforce
Various Donor,814996,incoming,United Nations Children's Fund
Various Donor,812000,incoming,Danish Refugee Council
Various Donor,812000,incoming,Danish Refugee Council
Various Donor,811231,internal,Food & Agriculture Organization of the United Nations
Various Donor,810557,internal,Concern Worldwide
Various Donor,800641,incoming,Save the Children 
Various Donor,800641,incoming,Save the Children 
Various Donor,800641,incoming,Save the Children 
Various Donor,800641,incoming,Save the Children 
Various Donor,800096,internal,World Health Organization
Various Donor,800000,incoming,International Medical Corps UK
Various Donor,800000,incoming,United Nations High Commissioner for Refugees
Various Donor,800000,incoming,International Medical Corps UK
Various Donor,800000,incoming,United Nations High Commissioner for Refugees
Various Donor,799379,incoming,United Nations Children's Fund
Various Donor,799379,incoming,United Nations Children's Fund
Various Donor,797055,internal,Catholic Relief Services
Various Donor,797055,incoming,Catholic Relief Services
Various Donor,797055,incoming,Catholic Relief Services
Various Donor,794509,incoming,CARE International
Various Donor,791417,incoming,Relief International
Various Donor,790013,internal,International Organization for Migration
Various Donor,789940,incoming,Agency for Technical Cooperation and Development
Various Donor,789940,incoming,Agency for Technical Cooperation and Development
Various Donor,786782,incoming,World Food Programme
Various Donor,786782,incoming,World Food Programme
Various Donor,785634,internal,TEARFUND
Various Donor,782998,incoming,Save the Children 
Various Donor,774999,incoming,International Organization for Migration
Various Donor,774999,incoming,International Organization for Migration
Various Donor,774336,internal,Norwegian Refugee Council
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,766687,incoming,World Health Organization
Various Donor,766687,incoming,World Health Organization
Various Donor,761267,incoming,Danish Refugee Council
Various Donor,761267,incoming,Danish Refugee Council
Various Donor,756010,incoming,South Sudan CHF
Various Donor,756010,incoming,South Sudan CHF
Various Donor,755448,incoming,Concern Worldwide
Various Donor,755448,incoming,Concern Worldwide
Various Donor,750000,incoming,United Nations Population Fund
Various Donor,750000,incoming,United Nations Population Fund
Various Donor,747490,incoming,Danish Refugee Council
Various Donor,747490,incoming,Danish Refugee Council
Various Donor,742574,internal,OXFAM GB
Various Donor,739546,internal,Norwegian Refugee Council
Various Donor,737444,incoming,MEDAIR
Various Donor,737444,incoming,MEDAIR
Various Donor,731710,incoming,International Organization for Migration
Various Donor,731710,incoming,International Organization for Migration
Various Donor,730000,incoming,The Health Support Organization
